Date,Description,Amount,Transaction_Type,Memo
2025-03-31,LOVES TRAVEL STOP,-11.00,DEBIT,
2025-04-01,IFTA TAX PAYMENT,-320.45,DEBIT,Q1 Fuel Tax
2025-04-02,GREAT WEST CASUALTY,-1250.00,DEBIT,Monthly Insurance Premium
2025-04-05,PILOT 4553 KNOXVILLE,-690.00,DEBIT,Diesel
2025-04-08,APEX FACTORING DEPOSIT,5200.00,CREDIT,Inv# 2025-007 Net
2025-04-12,HOME DEPOT,-340.00,DEBIT,Tools for Truck?
2025-04-15,CHASE EQUIP FINANCE,-2200.00,DEBIT,Truck Lease Payment
2025-04-18,LOVES TRAVEL STOP,-780.00,DEBIT,Fuel
2025-04-21,CASH APP TRANSFER,-100.00,DEBIT,Lumper
2025-04-24,GOODYEAR COMMERCIAL,-1200.00,DEBIT,2 Steer Tires
2025-04-26,PILOT 1102,-550.00,DEBIT,Fuel
2025-04-28,APEX FACTORING DEPOSIT,4100.00,CREDIT,Inv# 2025-008 Net
2025-04-30,NETFLIX.COM,-15.99,DEBIT,Subscription
2025-05-02,GREAT WEST CASUALTY,-1250.00,DEBIT,Monthly Insurance Premium
2025-05-04,PILOT 4553 KNOXVILLE,-720.00,DEBIT,Diesel
2025-05-07,APEX FACTORING DEPOSIT,4800.00,CREDIT,Inv# 2025-009 Net
2025-05-10,LOVES TRAVEL STOP,-15.00,DEBIT,Shower/Laundry
2025-05-13,LOVES TRAVEL STOP,-810.00,DEBIT,Fuel
2025-05-15,CHASE EQUIP FINANCE,-2200.00,DEBIT,Truck Lease Payment
2025-05-18,BEST BUY,-899.00,DEBIT,Laptop for ELD?
2025-05-21,PILOT 2331,-600.00,DEBIT,Fuel
2025-05-24,BLUE BEACON TRUCK WASH,-60.00,DEBIT,Wash
2025-05-26,APEX FACTORING DEPOSIT,3600.00,CREDIT,Inv# 2025-010 Net
2025-05-29,VERIZON WIRELESS,-145.00,DEBIT,Cell Phone
2025-05-31,PILOT 4553 KNOXVILLE,-640.00,DEBIT,Diesel
2025-06-02,GREAT WEST CASUALTY,-1250.00,DEBIT,Monthly Insurance Premium
2025-06-05,PILOT 4553 KNOXVILLE,-700.00,DEBIT,Diesel
2025-06-08,APEX FACTORING DEPOSIT,5500.00,CREDIT,Inv# 2025-011 Net
2025-06-11,LOVES TRAVEL STOP,-820.00,DEBIT,Fuel
2025-06-13,WAL-MART SUPERCENTER,-125.50,DEBIT,Groceries or Office?
2025-06-15,CHASE EQUIP FINANCE,-2200.00,DEBIT,Truck Lease Payment
2025-06-18,TA TRUCK SERVICE,-350.00,DEBIT,Oil Change
2025-06-21,VENMO PAYMENT,-80.00,DEBIT,Lumper Help
2025-06-24,PILOT 1102,-580.00,DEBIT,Fuel
2025-06-26,APEX FACTORING DEPOSIT,2800.00,CREDIT,Inv# 2025-012 Net
2025-06-28,PREPASS,-35.00,DEBIT,Toll/Scale
2025-06-30,PILOT 2331,-13.00,DEBIT,Scale Ticket
2025-07-01,IFTA TAX PAYMENT,-345.10,DEBIT,Q2 Fuel Tax
2025-07-02,GREAT WEST CASUALTY,-1250.00,DEBIT,Monthly Insurance Premium
2025-07-05,PILOT 4553 KNOXVILLE,-730.00,DEBIT,Diesel
2025-07-08,APEX FACTORING DEPOSIT,4900.00,CREDIT,Inv# 2025-013 Net
2025-07-11,LOVES TRAVEL STOP,-840.00,DEBIT,Fuel
2025-07-14,MCDONALDS,-12.50,DEBIT,Driver Meal
2025-07-15,CHASE EQUIP FINANCE,-2200.00,DEBIT,Truck Lease Payment
2025-07-18,THERMO KING SERVICE,-2200.00,DEBIT,Reefer Repair
2025-07-21,PILOT 1102,-610.00,DEBIT,Fuel
2025-07-24,APEX FACTORING DEPOSIT,3900.00,CREDIT,Inv# 2025-014 Net
2025-07-27,AMAZON.COM,-120.00,DEBIT,Parts or Personal?
2025-07-30,BLUE BEACON TRUCK WASH,-55.00,DEBIT,Wash
2025-08-02,GREAT WEST CASUALTY,-1250.00,DEBIT,Monthly Insurance Premium
2025-08-04,PILOT 4553 KNOXVILLE,-740.00,DEBIT,Diesel
2025-08-07,APEX FACTORING DEPOSIT,5300.00,CREDIT,Inv# 2025-015 Net
2025-08-10,LOVES TRAVEL STOP,-12.00,DEBIT,Shower
2025-08-12,LOVES TRAVEL STOP,-850.00,DEBIT,Fuel
2025-08-15,CHASE EQUIP FINANCE,-2200.00,DEBIT,Truck Lease Payment
2025-08-18,KENWORTH DEALER,-4500.00,DEBIT,Turbo Replacement
2025-08-21,PILOT 2331,-630.00,DEBIT,Fuel
2025-08-24,ZELLE TRANSFER,-120.00,DEBIT,Unload fee
2025-08-27,APEX FACTORING DEPOSIT,4200.00,CREDIT,Inv# 2025-016 Net
2025-08-30,SPOTIFY USA,-10.99,DEBIT,Music
2025-08-31,PILOT 1102,-600.00,DEBIT,Fuel
2025-09-02,GREAT WEST CASUALTY,-1250.00,DEBIT,Monthly Insurance Premium
2025-09-05,PILOT 4553 KNOXVILLE,-710.00,DEBIT,Diesel
2025-09-08,APEX FACTORING DEPOSIT,5600.00,CREDIT,Inv# 2025-017 Net
2025-09-11,LOVES TRAVEL STOP,-830.00,DEBIT,Fuel
2025-09-14,WAL-MART SUPERCENTER,-45.00,DEBIT,Cleaning Supplies
2025-09-15,CHASE EQUIP FINANCE,-2200.00,DEBIT,Truck Lease Payment
2025-09-18,BRIDGESTONE TIRE,-600.00,DEBIT,Trailer Tire
2025-09-21,PILOT 2331,-620.00,DEBIT,Fuel
2025-09-24,APEX FACTORING DEPOSIT,3100.00,CREDIT,Inv# 2025-018 Net
2025-09-26,PREPASS,-35.00,DEBIT,Toll/Scale
2025-09-28,CAT SCALE,-13.00,DEBIT,Weight Ticket
2025-09-30,LOVES TRAVEL STOP,-14.00,DEBIT,Shower
2025-10-01,IFTA TAX PAYMENT,-330.25,DEBIT,Q3 Fuel Tax
2025-10-02,GREAT WEST CASUALTY,-1250.00,DEBIT,Monthly Insurance Premium
2025-10-05,PILOT 4553 KNOXVILLE,-720.00,DEBIT,Diesel
2025-10-08,APEX FACTORING DEPOSIT,5100.00,CREDIT,Inv# 2025-019 Net
2025-10-12,LOVES TRAVEL STOP,-840.00,DEBIT,Fuel
2025-10-15,CHASE EQUIP FINANCE,-2200.00,DEBIT,Truck Lease Payment
2025-10-18,BOBS USED TIRES,-200.00,DEBIT,Cash/Debit?
2025-10-21,PILOT 1102,-590.00,DEBIT,Fuel
2025-10-24,APEX FACTORING DEPOSIT,4000.00,CREDIT,Inv# 2025-020 Net
2025-10-27,AMAZON.COM,-299.00,DEBIT,Truck GPS or Tablet?
2025-10-30,BLUE BEACON TRUCK WASH,-60.00,DEBIT,Wash
2025-10-31,PILOT 2331,-610.00,DEBIT,Fuel
2025-11-02,GREAT WEST CASUALTY,-1250.00,DEBIT,Monthly Insurance Premium
2025-11-05,PILOT 4553 KNOXVILLE,-750.00,DEBIT,Diesel
2025-11-08,APEX FACTORING DEPOSIT,5400.00,CREDIT,Inv# 2025-021 Net
2025-11-11,LOVES TRAVEL STOP,-860.00,DEBIT,Fuel
2025-11-14,TARGET STORE,-110.00,DEBIT,Clothes?
2025-11-15,CHASE EQUIP FINANCE,-2200.00,DEBIT,Truck Lease Payment
2025-11-18,PETERBILT SERVICE,-3500.00,DEBIT,DPF Cleaning
2025-11-21,PILOT 1102,-630.00,DEBIT,Fuel
2025-11-24,APEX FACTORING DEPOSIT,3300.00,CREDIT,Inv# 2025-022 Net
2025-11-26,ZELLE TRANSFER,-90.00,DEBIT,Lumper
2025-11-28,LOVES TRAVEL STOP,-12.00,DEBIT,Shower
2025-11-30,PILOT 2331,-620.00,DEBIT,Fuel
2025-12-02,GREAT WEST CASUALTY,-1250.00,DEBIT,Monthly Insurance Premium
2025-12-05,PILOT 4553 KNOXVILLE,-760.00,DEBIT,Diesel
2025-12-08,APEX FACTORING DEPOSIT,5800.00,CREDIT,Inv# 2025-023 Net
2025-12-10,LOVES TRAVEL STOP,-880.00,DEBIT,Fuel
2025-12-12,WAL-MART SUPERCENTER,-350.00,DEBIT,Xmas Gifts?
2025-12-15,CHASE EQUIP FINANCE,-2200.00,DEBIT,Truck Lease Payment
2025-12-18,TA TRUCK SERVICE,-400.00,DEBIT,PM Service
2025-12-20,PREPASS,-35.00,DEBIT,Toll/Scale
2025-12-22,PILOT 1102,-650.00,DEBIT,Fuel
2025-12-24,APEX FACTORING DEPOSIT,2500.00,CREDIT,Inv# 2025-024 Net
2025-12-28,BEST BUY,-1200.00,DEBIT,Personal Electronics?
2025-12-31,PILOT 2331,-640.00,DEBIT,Fuel
